0,23786
1,96122
10,169276
100,158083
1000,113457
10000,124653
100000,46787
100001,103523
100002,44844
100003,126223
100004,158087
100005,22325
100006,163383
100007,60429
100008,98717
100009,69597
10001,151993
100010,135484
100011,146849
100012,152814
100013,81234
100014,122666
100015,158360
100016,108972
100017,108641
100018,94533
100019,77777
10002,2559
100020,51639
100021,111304
100022,84098
100023,16635
100024,78781
100025,99695
100026,100373
100027,143805
100028,105527
100029,167022
10003,81627
100030,99063
100031,122037
100032,46667
100033,105390
100034,141783
100035,76736
100036,132118
100037,39571
100038,19147
100039,122803
10004,95648
100040,12428
100041,92240
100042,2235
100043,113141
100044,135005
100045,20037
100046,55295
100047,169100
100048,125193
100049,53032
10005,133466
100050,84446
100051,109797
100052,80905
100053,65986
100054,14729
100055,156473
100056,76313
100057,35197
100058,76435
100059,38426
10006,33754
100060,104883
100061,153347
100062,50531
100063,96466
100064,150379
100065,157838
100066,128963
100067,14709
100068,96121
100069,168725
10007,72738
100070,42161
100071,142155
100072,168413
100073,129716
100074,45523
100075,90079
100076,158956
100077,143058
100078,141896
100079,143677
10008,11541
100080,36575
100081,64337
100082,136404
100083,73793
100084,81899
100085,19854
100086,30485
100087,4226
100088,93212
100089,59870
10009,96507
100090,103910
100091,87262
100092,125453
100093,95411
100094,17959
100095,61617
100096,43786
100097,95304
100098,17166
100099,108465
1001,96130
10010,126265
100100,30089
100101,143823
100102,85949
100103,58865
100104,158860
100105,74912
100106,138186
100107,125277
100108,14820
100109,105320
10011,148776
100110,75980
100111,77523
100112,9431
100113,142470
100114,156444
100115,147984
100116,20852
100117,79813
100118,154688
100119,41484
10012,94913
100120,43898
100121,166294
100122,37227
100123,68746
100124,122943
100125,95490
100126,154826
100127,67257
100128,13836
100129,36255
10013,91467
100130,60753
100131,53455
100132,166746
100133,111593
100134,95945
100135,95084
100136,107715
100137,116148
100138,104738
100139,64214
10014,128833
100140,148477
100141,97781
100142,100545
100143,34266
100144,29168
100145,22274
100146,104224
100147,63669
100148,128197
100149,66153
10015,136240
100150,164780
100151,77374
100152,97398
100153,41246
100154,155747
100155,13346
100156,56865
100157,8609
100158,120311
100159,94265
10016,129543
100160,146090
100161,37183
100162,84055
100163,32445
100164,110867
100165,78186
100166,80397
100167,40359
100168,15464
100169,22698
10017,75634
100170,46902
100171,158511
100172,127233
100173,107614
100174,5675
100175,46174
100176,64190
100177,43967
100178,72352
100179,109836
10018,146625
100180,44486
100181,80200
100182,105687
100183,97798
100184,126815
100185,9321
